 FIPS Code ,  Area Name  ,1975,1976,1977,1978,1979
13109, Evans  ,8000,8300,8300,8400,8700
13111, Fannin  ,14100,14500,14600,14700,14800
13113, Fayette  ,17700,19200,20900,23500,26500
13115, Floyd  ,78900,79500,80500,80200,79600
13117, Forsyth  ,23000,23700,24400,25000,26600
13119, Franklin  ,14300,14500,15000,15000,15100
13121, Fulton  ,576900,569700,567000,570500,590200
13123, Gilmer  ,10400,10600,11100,10800,11000
13125, Glascock  ,2200,2200,2200,2200,2200
13127, Glynn  ,51200,51700,52600,53200,54600
13129, Gordon  ,28100,28400,28600,29300,30100
13131, Grady  ,19200,19300,19700,19800,19800
13133, Greene  ,11000,11100,11300,11400,11500
13135, Gwinnett  ,118500,126500,135400,145200,156300
13137, Habersham  ,23600,24400,24800,25300,25000
13139, Hall  ,69100,69600,71200,72500,74300
13141, Hancock  ,9500,9500,9500,9600,9500
13143, Haralson  ,17500,17800,17900,18100,17900
13145, Harris  ,13400,13800,14400,14900,15200
13147, Hart  ,17600,17800,18100,18200,18300
13149, Heard  ,5900,5900,6100,6200,6300
13151, Henry  ,29600,29900,30400,32100,34400
13153, Houston  ,72100,73200,73900,74900,76600
13155, Irwin  ,8600,8700,8700,9000,9000
13157, Jackson  ,23900,24300,24600,24700,25300
13159, Jasper  ,7400,7600,7800,8000,8200
13161, Jeff Davis  ,11100,11500,11600,11500,11400
13163, Jefferson  ,17600,17700,17800,17800,18200
13165, Jenkins  ,8200,8300,8300,8500,8600
13167, Johnson  ,8300,8400,8600,8500,8600
13169, Jones  ,14800,15200,15500,15900,16000
13171, Lamar  ,11600,11700,11700,11800,12100
13173, Lanier  ,5200,5200,5400,5400,5600
13175, Laurens  ,34900,35300,36000,36700,37400
13177, Lee  ,9700,10000,10500,10800,11400
13179, Liberty  ,21300,25100,29600,33800,35000
13181, Lincoln  ,6500,6600,6800,6800,6900
13183, Long  ,3700,3800,4100,4300,4400
13185, Lowndes  ,63600,64900,66700,66700,67500
13187, Lumpkin  ,9700,9900,10300,10100,10600
13189, McDuffie  ,17000,17300,17400,17800,18300
13191, McIntosh  ,8100,8000,8400,7900,8000
13193, Macon  ,13700,13500,12800,13400,13800
13195, Madison  ,15900,16200,16500,16600,15600
13197, Marion  ,5500,5400,5800,5500,5300
13199, Meriwether  ,20400,20700,20900,20700,21000
13201, Miller  ,6500,6500,6600,6700,6800
13205, Mitchell  ,19700,19700,19900,20200,20800
13207, Monroe  ,12800,12900,13500,13700,14200
13209, Montgomery  ,6800,6900,7100,7200,7200
13211, Morgan  ,11100,11200,10900,10900,11200
13213, Murray  ,16900,17300,17900,18600,19200
13215, Muscogee  ,165800,168400,168800,169200,169900
13217, Newton  ,32400,33200,33700,33800,34100
13219, Oconee  ,9900,10200,10900,11400,12000
13221, Oglethorpe  ,8300,8400,8600,8700,9000
13223, Paulding  ,22200,22800,24000,24400,25200
13225, Peach  ,17800,17900,18200,18800,19000
13227, Pickens  ,10700,11000,11200,11300,11400
13229, Pierce  ,10800,11200,11600,11600,11700
13231, Pike  ,8100,8100,8300,8500,8500
13233, Polk  ,32400,32300,32300,32000,32300
13235, Pulaski  ,8400,8500,8700,8700,8800
13237, Putnam  ,9200,9200,9400,9900,10200
13239, Quitman  ,2300,2300,2300,2300,2400
13241, Rabun  ,9500,9800,9600,9700,10200
13243, Randolph  ,9200,9400,9500,9700,9700
13245, Richmond  ,163000,168200,170000,175000,179400
13247, Rockdale  ,28300,30000,31900,33400,35400
13249, Schley  ,3200,3200,3200,3300,3500
13251, Screven  ,13000,13300,13600,13600,14000
13253, Seminole  ,8600,8700,8800,8800,9000
13255, Spalding  ,44500,45200,46000,46500,47000
13257, Stephens  ,21400,21700,21700,21700,21700
13259, Stewart  ,6000,6000,6000,6000,6000
13261, Sumter  ,28300,28000,28300,28500,29000
13263, Talbot  ,6700,6700,6800,6600,6700
13265, Taliaferro  ,2300,2200,2200,2100,2100
13267, Tattnall  ,17500,18000,18300,18600,18300
13269, Taylor  ,8100,8100,8000,8000,8100
13271, Telfair  ,11300,11200,11400,11500,11900
13273, Terrell  ,11900,12200,12300,12000,12000
13275, Thomas  ,37600,37500,37800,37900,38400
13277, Tift  ,30900,32000,32600,32300,32600
13279, Toombs  ,21700,21900,22300,22300,22600
13281, Towns  ,5000,5100,5200,5300,5500
13283, Treutlen  ,5900,6000,6100,6100,6100
13285, Troup  ,47100,47500,47800,48300,49200
13287, Turner  ,9000,9100,9200,9300,9400
13289, Twiggs  ,8500,8500,8900,9300,9700
13291, Union  ,8300,8700,8700,8700,8900
13293, Upson  ,25000,24800,25300,25700,25900
13295, Walker  ,55300,56200,56100,55800,56500
13297, Walton  ,29500,29800,30500,30600,31100
13299, Ware  ,36900,36800,37300,37200,37600
13301, Warren  ,6300,6200,6300,6500,6600
13303, Washington  ,18100,18300,18500,18500,18900
13305, Wayne  ,19800,19900,20000,20100,20400
13307, Webster  ,2300,2200,2300,2300,2300
13309, Wheeler  ,4800,4900,5000,5100,5100
13311, White  ,8800,9100,9400,9500,9900
13313, Whitfield  ,62300,62500,63900,64900,65700
13315, Wilcox  ,7200,7300,7500,7700,7600
13317, Wilkes  ,10400,10400,10600,10700,10700
13319, Wilkinson  ,10100,10100,10100,10200,10400
13321, Worth  ,17200,17300,17700,17600,17800
