Case Number,Diagnos-tician,State,County,Area,Histo Number,Species,Year,No. Rec.,Sex,Age,Weight,Diagnosis,Other/Comments,Date Rec.,Date Final,Submitter,Agency,
827-19,Radisic,MD,Anne Arundel,Unknown,W19-996,Beaver,2019,1,Male,Adult,Unknown,Cause of death unknown; schizocarpic skin and beaver beetle infestation (incidental),#19-CCA-24,11/01/2019,12/02/2019,Driscoll,MDDNR,
067-19,Dalton,KY,Logan,"Woodward Road, Auburn",W19-452,Beaver,2019,1,Male,Adult,24 kg,Trauma; Lungs: presumed alveolar filling disorder,#KDFWR-W-2019-02,02/08/2019,03/19/19,Hemberger,KYDFWR,
157-16,Bahnson,PA,Westmoreland,Fairfield Township,"W16-602, W16-603",Black Bear,2016,3,Both,Juvenile,"1.56, 1.57 kg","A & B: Perinatal mortality. C: Undetermined, evidence of sarcoptic mange",#16SW0010,03/23/16,05/04/2016,Trusso/Brown,PAGC,
568-16,Niedringhaus,WV,Monongalia,Morgantown,W17-211,Black Bear,2016,3,"Female, Unknown","Adult, Cub",Unknown,A and B: No significant lesions.  C: Mild encephalitis of unknown origin,"#R16000465, #R16000466, #R16000469.  Canine distemper virus not detected any bear. Toxoplasma spp, or Sarcocystis spp. was not detected in bear C.",10/12/2016,12/12/2016,Clark/Crum,WVDNR,
314-19,Kunkel,WV,A: Hampshire. B: Mineral,A: Rannels Road. B: Gough Farm,W19-706,Black Bear,2019,2,Female,Adult,A: 31.8 kg. B: 40.0 kg,A&B: Sarcoptic mange,,06/26/19,08/02/2019,Barton,WVDNR,
490-19,Dugovich,WV,A: Mineral. B: Hampshire,A: Storm Mountain.  B: Klines Road,W19-832,Black Bear,2019,1,Female,Adult,~70-90 lbs,A&B: Sarcoptic mange,,08/22/19,09/17/19,Barton,WVDNR,
209-14,Elsmo,NC,Coswell,Coswell Game Lands,-,Black Bear,2014,3,Both,1 yr,49-58 kg,A&C: Babesia sp. detected,A: ID #UA-14-001            B: ID #UA-14-002          C: ID #UA-14-003 ,07/21/14,08/28/14,Palamar,NCWRC,
348-17,Dalton,NC,Caswell,Caswell Gamelands,-,Black Bear,2017,7,"A, B, F, G: Male. C, D, E: Female.",A-G: Juvenile,A: 64 kg. B: 74 kg. C: 47 kg. D: 50 kg. E: 50 kg. F: 65 kg. G: 79 kg.,"A, C, G: Exposure to Leptospira interrogans serovar icterohaemorrhagiae. A, C, D, E, F, G: Bratislava. A: Grippotyphosa. A: Canine distemper virus",No exposure to Toxoplasma gondii or Brucella spp. was detected.,07/20/17,07/28/17,Palamar,NCWRC,
893-19,Dugovich,WV,Hampshire,Unknown,W19-1073,Black Bear,2019,3,A-C: Female,"A, C: Adult. B: Cub",A-C: 60-100 lbs,A-C: Sarcoptic mange (Sarcoptes scabiei),A: #2029. B: #2030. C: #2031.  ,11/26/19,01/06/2020,Barton,WVDNR,
733-19,Kunkel,WV,"D: Mineral. A-C, E: Hampshire. F: Unknown",Unknown,W19-926,Black Bear,2019,6,A-F: Female,A-F: Adult,Unknown,A-F: Sarcoptic mange (Sarcoptes scabiei),A: #19Bear2019. B: #19Bear2021. C: #19Bear2022. D: #19Bear2023. E: #19Bear2025. F: Unknown,10/08/2019,12/13/19,Barton,WVDNR,
312-16,Bryan,NC,Caswell,Caswell Gamelands,-,Black Bear,2016,8,Both,Juvenile (1.5 yrs),42-82 kg,A-H: Exposure to Leptospira interrogans serovar icterohaemorrhagiae. C-H: Brastislava.  F&G: Canicola.  E: Pomona. G: Toxoplasma gondii,Samples obtained from rehabbed cubs ready to be released. ,06/16/16,08/22/16,Palamar,NCWRC,
171-17,Fenton,MD,Garrett,Unknown,W17-569,Black Bear,2017,1,Female,Adult,53.2 kg,Anesthetic death (suspected partial lung collapse and hypoxia); eosinophilic and granulomatous myositis (likely from a previous wound); microfilariasis,#17F2205,03/30/17,04/19/17,Pierce/Driscoll,MDDOA/MDDNR,
110-19,Kunkel,GA,Pickens,Bent Tree Subdivision in Jasper,W19-507,Black Bear,2019,1,Female,Adult,90 kg,Anticoagulant rodenticide toxicosis (bromadiolone and brodifacoum toxicity; difenacoum exposure),"No rabies virus was detected. Brodifacoum: 6200 PPB, Bromadiolone: 2000 PPB, Difenacoum: Trace.",03/07/2019,04/02/2019,Hammond,GADNR,
197-14,Last,LA,Pointe Coupee,Batchelor,W14-251,Black Bear,2014,1,Male,8 yrs,113 kg,Bacterial pneumonia and trauma (per history),LDWF #773.CWD not detected.,07/10/2014,07/30/14,LaCour,LADWF,
691-18,Kunkel,NC,Camden,"South 343, 36.272524, -76.059424",W19-333,Black Bear,2018,1,Female,Adult,Unknown,Bacterial pneumonia with disseminated infection due to Williamsia muralis,Canine distemper virus was not detected.,12/13/18,02/20/19,Turner,NCWRC,
158-14,Fenton,GA,Bleckley,Cotton Ridge Estate,W14-199,Black Bear,2014,1,Female,Adult,37.6 kg,"Bilateral elbow arthritis, intervertebral disc disease, and multiple age-related changes",Rabies and CWD not detected,05/20/14,07/21/14,Hooker,UGA,
098-15,Fenton,PA,Elk,Unknown,W15-288,Black Bear,2015,1,Male,Cub,Unknown,Canine distemper virus,#15BB0001,03/13/15,05/05/2015,,,
166-19,Kunkel,PA,Sullivan,Shrewsbury Township,-,Black Bear,2019,1,Female,Adult,Unknown,Canine distemper virus not detected,#19NE0007. Rabies virus not detected (tested prior to submission),04/11/2019,04/17/19,Miller/Wenner,PAGC,
179-19,Kunkel,PA,Lackawanna,Thornhurst Township,-,Black Bear,2019,1,Female,Yearling,Unknown,Canine distemper virus not detected,#19NE0010.  Rabies virus not detected at another laboratory (Prior to shipment),04/18/19,04/24/19,Wenner/Miller,PAGC,
145-16,Fenton,GA,Murray,Lake Conasauga,W16-592,Black Bear,2016,1,Male,<1 yr,6.54 kg,Emaciation,Rabies and canine distemper virus were not detected.,03/15/16,04/27/16,Hammond,GADNR,
370-18,Niedringhaus,GA,Fannin,"Indian Ridge Road, Epworth",W19-088,Black Bear,2018,1,Male,Yearling,13 kg,Emaciation,No ectoparasites were detected.,08/14/18,09/05/2018,Hammond,GADNR,
463-18,Ruder,NC,Hyde,"35.583129, -75.926804 (along Hwy 264, north of Engelhard)",W19-156,Black Bear,2018,1,Female,Yearling,23 kg,Emaciation,Rabies virus and canine distemper virus were not detected.,09/18/18,11/12/2018,Turner,NCWRC,
198-14,Last,LA,Madison,Interstate 20,W14-253,Black Bear,2014,1,Male,5 mths,4.09 kg,Emaciation and enteritis with protozoa (Giardia intestinalis-like organism is suspected),,07/11/2014,08/13/14,Berry,LADWF,
409-15,Niedringhaus,NC,Haywood,Harmon Den,W16-138,Black Bear,2015,1,Female,2 yrs,22.25 kg,Emaciation; megaesophagus,Severely poor physician condition.,08/28/15,10/05/2015,Thomas,NCWRC,
254-14,Last,PA,Monroe,Tobyham Township,-,Black Bear,2014,1,Female,Juvenile,Unknown,Encephalitis of unknown etiology,PGC #14NE0011,08/27/14,09/24/14,Brown,PAGC,
145-15,Niedringhaus,PA,Somerset,Stoney Creek Township,W15-337,Black Bear,2015,1,Female,Adult,114 kg,Fibropapilloma,#15WH0004.,04/02/2015,05/05/2015,,,
220-14,Last,NC,Yancey,Town of Burnsville,W14-204,Black Bear,2014,1,Male,1 yr,71.8 kg,Gunshot trauma,#N017.  Rabies and canine distemper virus were not detected.,07/28/14,08/07/2014,Gould,NCWRC,
846-19,Kunkel,NC,Tyrrell,"Kilkenny Farms; 35.678729, -76.227792",W19-1019,Black Bear,2019,1,Male,Adult,~115 lbs,"Metastatic adenocarcinoma (lung, liver) with secondary bacterial pneumonia due to Proteus mirabilis and Raoultella planticola",Rabies virus and canine distemper virus were not detected.,11/07/2019,12/20/19,Turner,NCWRC,
486-18,Niedringhaus,NC,Buncombe,"Asheville Hwy, Pisghah Forest",-,Black Bear,2018,1,Female,Adult,180 lbs,No abnormalities detected,No significant lesions.  ,09/24/18,10/10/2018,Olfenbuttel,NCWRC,
261-17,Bryan,GA,Murray,Fort Mountain State Park,W17-689,Black Bear,2017,1,Male,Juvenile,36 kg,No evidence of disease,Rabies virus and canine distemper virus were not detected.,05/24/17,07/12/2017,Hammond,GADNR,
264-17,Bryan,GA,Murray,Fort Mountain State Park,W17-690,Black Bear,2017,1,Male,Juvenile,55 kg,No evidence of disease,Rabies virus and canine distemper virus were not detected.,05/26/17,07/12/2017,Story,GADNR,
400-19,Kunkel,VA,Roanoke,Catawba,-,Black Bear,2019,1,Unknown,Unknown,Unknown,No mange detected,,07/30/19,09/09/2019,Kirchgessner,VADGIF,
426-15,Fenton,MD,Frederick,"Spruce Run, Wolfesville",W16-152,Black Bear,2015,1,Female,8 yrs,77 kg,No significant findings,Good nutritional condition without any evidence of underlying infectious disease.,09/04/2015,10/15/15,Spiker,MDDNR,
567-15,Bahnson,MD,Frederick,Cambrill Park Road,W16-320,Black Bear,2015,1,Male,Young-adult,86.4 kg,No significant findings,"#15F7846.  Rabies, canine distemper, and herpes viruses were not detected.",10/20/15,11/24/15,Pierce,MDDOA,
150-16,Fenton,PA,Clinton,Sproul State Forest,-,Black Bear,2016,1,Male,2 mths,Unknown,No significant findings,#16WH0007.  Canine distemper virus was not detected.,03/16/16,03/28/16,Brown,PAGC,
660-16,Ruder,MD,Frederick,Middletown,W17-285,Black Bear,2016,1,Female,Adult,88 kg,No significant findings,Metal tag #749 (right ear) and yellow plastic tag #465 (left ear),11/22/16,12/02/2016,Pierce/Driscoll,MDDOA/MDDNR,
094-16,Bryan,GA,Jasper,33.2295744N 83.612676W,W16-526,Black Bear,2016,1,Male,~3 wks,1 kg,Perinatal mortality; Hepatic lipidosis and possible bacterial sepsis (Staphylococcus schleiferi isolated),Canine distemper virus was not detected.,02/18/16,03/25/16,Hooker,UGA,
111-15,Elsmo,NC,Buncombe,West Asheville,W15-302,Black Bear,2015,1,Female,Adult,68 kg,Post-anesthetic death,No evidence of underlying condition was observed.,03/21/15,05/13/15,,,
714-18,Kunkel,NC,Hyde,near Swan Quarter,W19-385,Black Bear,2018,1,Male,Yearling,49.5 kg,Rabies,,12/20/18,01/22/19,Turner,NCWRC,
197-19,Kunkel,WV,Greenbrier,Neola,W19-592,Black Bear,2019,1,Male,Adult,124.8 kg,Rabies virus not detected,No significant microscopic lesions in the brain.,04/26/19,05/16/19,Dowdy/Crum,WVDNR,
420-16,Niedringhaus,VA,Frederick,Back Creek Road,W17-79,Black Bear,2016,1,Female,Unknown,Unknown,Sarcoptic mange,,08/12/2016,09/09/2016,Frenzel,VADGIF,
549-16,Niedringhaus,PA,Lycoming,Cogan House Township,W17-196,Black Bear,2016,1,Male,Yearling,18 kg,Sarcoptic mange,#16WH0024,09/30/16,11/07/2016,Ross/Brown,PAGC,
264-18,Dalton,AR,Pope,"SR 333, London (47.6269, 39.14234)",W18-588,Black Bear,2018,1,Male,Adult,Unknown,Sarcoptic mange,#2018-015. Rabies virus was not detected.,06/22/18,07/13/18,Ballard,ARGFC,
137-19,Kunkel,VA,Unknown,Unknown,W19-528,Black Bear,2019,1,Unknown,Unknown,Unknown,Sarcoptic mange,Sarcoptes scabeil,03/26/19,04/15/19,Kirchgessner,VADGIF,
281-19,Dugovich,WV,Mineral,17 UTM 4359642N 685554E,W19-731,Black Bear,2019,1,Female,Adult,~90 lbs,Sarcoptic mange,Sarcoptes scabiei was detected in the skin.,06/18/19,07/11/2019,Barton,WVDNR,
282-19,Dugovich,WV,Hampshire,17 UTM 4345254N 713403E,W19-732,Black Bear,2019,1,Male,~1 yr,~25 lbs,Sarcoptic mange,Sarcoptes scabiei was detected in the skin.,06/18/19,07/11/2019,Barton,WVDNR,
361-19,Dugovich,WV,Mineral,UTM 17 4366533N 688063E,,Black Bear,2019,1,Male,Adult,110 lbs,Sarcoptic mange,,07/16/19,07/25/19,Barton,WVDNR,
850-19,Kunkel,WV,Pendleton,Fort Seybert,W19-1022,Black Bear,2019,1,Female,Adult,97 lbs,Sarcoptic mange,Sarcoptes scabiei was detected in the skin.,11/08/2019,12/17/19,Barton,WVDNR,
594-19,Dugovich,WV,Morgan,UTM 17 43.85364N 72.8832E; Detour Road,W19-876,Black Bear,2019,1,Female,Adult,75 lbs,Sarcoptic mange (Sarcoptes scabiei),,09/13/19,10/07/2019,Barton,WVDNR,
830-19,Radisic,WV,Pendleton,Oak Flat,W19-995,Black Bear,2019,1,Male,Juvenile,30 lbs,Sarcoptic mange (Sarcoptes scabiei),,11/01/2019,12/13/19,Barton,WVDNR,
305-14,Ballard,MD,Garrett,Grantsville,W15-85,Black Bear,2014,1,Male,Adult,113 lbs,Sarcoptic mange and emaciation,Negative for rabies virus,10/07/2014,11/05/2014,Pierce,MDDOA,
296-16,Bahnson,PA,Clearfield,Lawrence Township,W16-741,Black Bear,2016,1,Male,Adult,Unknown,Severe dermatitis; suspect sarcoptic mange,No mites were detected by skin scrape.,06/08/2016,08/02/2016,Brown,PAGC,
305-16,Bryan,LA,St. Mary,Patterson,W16-766,Black Bear,2016,1,Male,Adult,91 kg,Solar dermatosis and dermal granuloma,#BB16-002.  No inclusion bodies were observed that would be consistent with a virus cause.,06/15/16,08/02/2016,LaCour,LADWF,
504-16,Niedringhaus,NC,Camden,Dismal Swamp State Park,W17-157,Black Bear,2016,1,Female,Adult,~36 kg,Stomach impaction,Liver heavy metal values were considered to be within an acceptable range.,09/16/16,11/21/16,Turner,NCWRC,
404-16,Dalton,NC,Buncombe,south Asheville,W17-68,Black Bear,2016,1,Female,5-6 mths,5.5 kg,"Suspect trauma, malnutrition",Rabies and canine distemper virus were not detected.,08/09/2016,09/09/2016,Olfenbuttel,NCWRC,
597-18,Kunkel,LA,Pointe Coupee,Sherburne Wildlife Management Area,W19-256,Black Bear,2018,1,Female,1.5 yrs,Unknown,"Systemic infection, including: Bronchointerstitial pneumonia; Meningoencephalitis; Hepatitis",#BB-AF-PointCoupee-28October2018.,10/31/18,01/18/19,Anderson/LaCour,LADWF,
003-15,Elsmo,NC,Buncombe,"Haven St., Weaverville",W15-188,Black Bear,2015,1,Male,Adult,205 kg,Trauma,ID# N005. Rabies not detected,01/06/2015,02/03/2015,Gould,NCWRC,
189-15,Niedringhaus,PA,Blair,"40.42953, -78.532054",W15-372,Black Bear,2015,1,Female,Cub,Unknown,Trauma,Rabies and canine distemper viruses were not detected.,04/30/15,05/28/15,Brown,PAGC,
199-19,Kunkel,WV,Upshur,along Crislip Run near Shelbyville,W19-594,Black Bear,2019,1,Male,Cub,1.51 kg,Trauma,An extensive skull fracture and gross and microscopic brain hemorrhage,04/26/19,05/17/19,Pollander/Crum,WVDNR,
404-14,Elsmo,GA,Twiggs,"263478, 3605200",W15-187,Black Bear,2014,1,Female,Adult,90.4 kg,Trauma (gunshot),Excellent body condition; no evidence of underlying infectious disease,12/17/14,01/21/15,Wood,GADNR,
291-16,Bahnson,NC,Madison,"Grey Ghost Lane, Burnsville",,Black Bear,2016,1,Male,Adult,97.7 kg,Trauma (gunshot),Rabies and canine distemper virus were not detected.,06/06/2016,06/28/16,Gould,NCWRC,
304-16,Bryan,LA,East Feliciana,Clinton,W16-750,Black Bear,2016,1,Male,4 yrs,171 kg,Trauma (per submitter),#BB16-001. No evidence of exposure to Suid herpesvirus-1 was detected,06/15/16,08/02/2016,LaCour,LADWF,
256-15,Fenton,NC,Buncombe,Canton,W15-451,Black Bear,2015,1,Male,Yearling,90.9 kg,Trauma (suspect gunshot),Ear tag #N062,06/10/2015,06/19/15,Gould,NCSU/NCWRC,
509-15,Bryan,LA,Iberia,Avery Island,W16-284,Black Bear,2015,1,Female,2 yrs,46 kg,Undetermined,#BB15-002.  Exposure to anticoagulant rodenticide compounds was not detected.,09/30/15,01/06/2015,LaCour,LADWF,
121-17,Niedringhaus,KY,Lee,Unknown,W17-511,Black Bear,2017,1,Male,Adult,213.19 kg,Undetermined,#KDFWR-W-2015-89.  Autolysis may have affected histological interpretation.,03/02/2017,04/12/2017,Stasiak,KYDFWR,
378-18,Ruder,VA,Smyth,Perryville area of Saltville,W19-092,Black Bear,2018,1,Male,~4 yrs,90 kg,Undetermined (suspected chocolate ingestion; no toxicants detected),,08/16/18,09/25/18,Thompson,VADGIF,
083-14,Fenton,PA,Centre,Sproul,W14-55,Black Bear,2014,1,Unknown,Yearling,Unknown,Undetermined; Yersinia enterocolitica cultured from the lung,P1403559,03/04/2014,03/20/14,Brown,PAGC,
386-17,Bahnson,WV,Preston,Saltlick Road,,Black Bear,2017,1,Male,Yearling,,,#Preston 06-17,08/09/2017,No final report,Rauch,WVDNR,
954-19,Radisic,GA,Clinch,Little Swannee Hunt Club,,Black Bear,2019,,,,,,,12/16/19,,Cowart,GADNR,
260-18,Niedringhaus,NE,Box Butte,Alliance,W18-584,Black-tailed Prairie Dog,2018,1,Male,Adult,1.014 kg,Pulmonary and gastrointestinal hemorrhage; cause unknown,"#Pdog-NW06/18/18.  The bacteria that causes plague and tularemia, Yersinia pestis and Francisella tularensis, were not detected.  Rabies virus was not detected.",06/20/18,07/13/18,Powell/Nordeen,NEGPC,
561-18,Niedringhaus,VA,A: Bath. B: Greenbrier,A: Back Creek Mountain. B: Lake Sherwood,W19-215,Bobcat,2018,2,A: Female. B: Male.,A: ~6-8 yrs. B: ~3-6 yrs,A: 8.5 kg. B: 4.7 kg,A: Emaciation. B: Emaciation and pneumonia; Pasteurella multocida and Streptococcus canis isolated,"A: #LPF12. B: #LPM14. Feline coronavirus, Mycoplasma spp., Chlamydia spp., and feline herpesvirus were not detected in the lungs.",10/16/18,12/05/2018,McNitt/Kirchgessner,VADGIF,
437-16,Bahnson,WV,"Hardy, Doddridge, Preston, Webster, Putnam, and Monroe",Unknown,W17-119 - W17-124,Bobcat,2016,6,Both,"Adult, Juvenile",Unknown,A: Mild portal hepatitis (incidental finding. B: Verminous pneumonia (metastrongylid nematodes). C: Verminous pneumonia (metastrongylid nematodes and trematodes). D: Verminous pneumonia (metastrongylid and filarial nematodes). E: Hemorrhage. F: Hemorrhage,A: #0085200160001. B: #3165200090002. C: #3505100390001. D: #433553. E: #473927. F: #562334,08/24/16,11/07/2016,Crum,WVDNR,
413-19,Kunkel,SC,Charleston,"Kiawah Island; 32.592409, -80.119772",W19-799,Bobcat,2019,1,Female,Adult,6.41 kg,"Anticoagulant rodenticide toxicosis (brodifacoum, bromadiolone, difethialone, and diphacinone toxicity; difenacoum exposure)",Brodifacoum: 570 PPB. Bromadiolone: 1900 PPB. Difethialone: 160 PPB. Diphacinone: 550 PPB. Difenacoum: Trace.,08/02/2019,10/09/2019,Ruth,SCDNR,
200-19,Kunkel,WV ,Randolph,Conley Run Road,W19-595,Bobcat,2019,1,Male,Adult,6.64 kg,Cardiomyopathy (heart disease); Suspect lysosomal storage disease; Verminous pneumonia (metastrongylid nematodes and trematodes); Trichinella detected in tongue (skeletal muscle),,04/26/19,05/29/19,Crum,WVDNR,
495-17,Bahnson,KY,Livingston,Burna,W18-138,Bobcat,2017,1,Male,Juvenile,2.24 kg,Cytauxzoonosis,#KDFWR-W-2017-72,09/13/17,10/17/17,Sharp/Stasiak,KYDFWR,
