 FIPS Code , Area Name ,1980,1981,1982,1983,1984
13121, Fulton   ,589904,602792,607085,614000,621124
13123, Gilmer   ,11110,11205,11413,11378,11661
13125, Glascock   ,2382,2403,2407,2344,2333
13127, Glynn   ,54981,55682,56270,57025,57809
13129, Gordon   ,30070,30561,30752,31063,31901
13131, Grady   ,19845,19862,19782,19818,20661
13133, Greene   ,11391,11521,11512,11683,11709
13135, Gwinnett   ,166815,179135,192057,208337,229270
13137, Habersham   ,25020,25282,25810,25972,26043
13139, Hall   ,75649,77629,78832,80278,82024
13141, Hancock   ,9466,9479,9379,9328,9408
13143, Haralson   ,18422,18994,19241,19368,19925
13145, Harris   ,15464,15209,15356,15592,15918
13147, Hart   ,18585,18678,18863,18872,19031
13149, Heard   ,6520,6557,6648,6833,7014
13151, Henry   ,36309,37132,38270,39651,41305
13153, Houston   ,77605,80235,80598,81590,81631
13155, Irwin   ,8988,8860,8892,8985,8970
13157, Jackson   ,25343,25880,26228,26514,26821
13159, Jasper   ,7553,7516,7486,7583,7713
13161, Jeff Davis   ,11473,11623,11736,11656,11880
13163, Jefferson   ,18403,18282,18362,18317,18259
13165, Jenkins   ,8841,8834,8719,8688,8654
13167, Johnson   ,8660,8664,8635,8609,8571
13169, Jones   ,16579,17087,17540,18108,18712
13171, Lamar   ,12215,12210,12041,12132,12299
13173, Lanier   ,5654,5680,5716,5692,5692
13175, Laurens   ,36990,37455,37830,38016,38532
13177, Lee   ,11684,12459,12837,13435,14381
13179, Liberty   ,37583,41530,43543,42449,44601
13181, Lincoln   ,6716,6765,6731,6753,6833
13183, Long   ,4524,4914,5018,5198,5433
13185, Lowndes   ,67972,68936,69473,70889,72046
13187, Lumpkin   ,10762,11069,11364,11542,11927
13189, McDuffie   ,18546,18725,18810,19038,19157
13191, McIntosh   ,8046,8103,8166,8173,8207
13193, Macon   ,14003,13995,13958,13909,13898
13195, Madison   ,17747,18028,18240,18459,18742
13197, Marion   ,5297,5274,5338,5418,5464
13199, Meriwether   ,21229,21317,21277,21433,21451
13201, Miller   ,7038,6982,6915,6850,6676
13205, Mitchell   ,21114,21259,21258,21327,21292
13207, Monroe   ,14610,14947,14865,14893,15144
13209, Montgomery   ,7011,7026,7011,7154,7262
13211, Morgan   ,11572,11880,11995,12050,12153
13213, Murray   ,19685,20161,20856,21131,21621
13215, Muscogee   ,170108,172032,174633,174223,175088
13217, Newton   ,34666,36139,36771,37078,37586
13219, Oconee   ,12427,12895,13282,13763,14336
13221, Oglethorpe   ,8929,9055,9085,9220,9363
13223, Paulding   ,26110,27007,27800,28739,29587
13225, Peach   ,19151,18306,18607,18624,18990
13227, Pickens   ,11652,11879,12079,12186,12550
13229, Pierce   ,11897,11825,12321,12123,12286
13231, Pike   ,8937,8786,9005,8994,9198
13233, Polk   ,32382,32654,32868,32739,32888
13235, Pulaski   ,8950,8977,8879,8810,8706
13237, Putnam   ,10295,10623,10817,11171,11630
13239, Quitman   ,2357,2316,2309,2277,2190
13241, Rabun   ,10466,10501,10683,10763,10770
13243, Randolph   ,9599,9666,9480,9183,9018
13245, Richmond   ,181629,181976,183190,184925,186940
13247, Rockdale   ,36570,37876,38639,39404,40876
13249, Schley   ,3433,3427,3461,3462,3516
13251, Screven   ,14043,14095,14068,14075,14300
13253, Seminole   ,9057,9136,9011,8866,8953
13255, Spalding   ,47899,48949,49564,49774,49975
13257, Stephens   ,21761,21998,22051,22374,22324
13259, Stewart   ,5896,5972,5905,5951,6043
13261, Sumter   ,29360,30232,30338,30414,30659
13263, Talbot   ,6536,6647,6605,6515,6343
13265, Taliaferro   ,2032,2080,2063,2057,2051
13267, Tattnall   ,18134,17946,17522,17524,17709
13269, Taylor   ,7902,7920,7853,7757,7759
13271, Telfair   ,11445,11567,11488,11527,11401
13273, Terrell   ,12017,11963,11919,11794,11699
13275, Thomas   ,38098,38463,38844,39051,38434
13277, Tift   ,32862,33695,33809,33642,33664
13279, Toombs   ,22592,22746,23015,23140,23536
13281, Towns   ,5638,5922,6039,6164,6236
13283, Treutlen   ,6087,6148,6190,6157,6148
13285, Troup   ,50003,50401,51196,51438,52500
13287, Turner   ,9510,9455,9461,9528,9489
13289, Twiggs   ,9354,9402,9416,9398,9479
13291, Union   ,9390,9710,9857,9945,10134
13293, Upson   ,25998,26346,26530,26486,26471
13295, Walker   ,56470,56852,57173,56959,56865
13297, Walton   ,31211,31111,31576,31896,32671
13299, Ware   ,37180,37398,37375,36849,36912
13301, Warren   ,6583,6645,6621,6515,6562
13303, Washington   ,18842,18998,18964,18994,18995
13305, Wayne   ,20750,21194,21509,21553,21536
13307, Webster   ,2341,2399,2384,2376,2333
13309, Wheeler   ,5155,5145,5159,5054,5099
13311, White   ,10120,10437,10615,10899,11127
13313, Whitfield   ,65775,66610,66321,66518,67686
13315, Wilcox   ,7682,7540,7552,7418,7330
13317, Wilkes   ,10951,11013,11140,11114,11238
13319, Wilkinson   ,10368,10265,10372,10484,10439
13321, Worth   ,18064,18363,18629,18709,18886
